capacidade_estadio,publico_estadio,time_casa,valor_mercado_casa,valor_mercado_media_casa,media_idade_casa,jogadores_de_selecao_casa,jogadores_de_sub_selecao_casa,estrangeiros_casa,gols_casa,posse_casa,socios_torcedores_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,valor_mercado_fora,valor_mercado_media_fora,media_idade_fora,jogadores_de_selecao_fora,jogadores_de_sub_selecao_fora,estrangeiros_fora,socios_torcedores_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
13.212,9.993,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,0,57,0.0,8,5,0,1,6,11,3,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,116188.0,1,43,4,2,2,1,9,9,1,2022,5.Rodada
20.120,7.256,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,4,47,70773.0,12,3,2,4,12,14,1,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,0.0,1,53,16,7,2,8,12,12,2,2022,5.Rodada
23.726,7.341,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,1,57,3020.0,11,6,2,6,11,22,3,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,142000.0,1,43,8,3,4,3,20,13,1,2022,5.Rodada
60.326,25.518,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,1,54,34119.0,12,4,1,9,13,16,3,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,151724.0,1,46,4,0,2,4,16,14,2,2022,5.Rodada
17.800,8.548,Avaí FC,8150.0,313.0,29.7,0.0,0.0,1.0,2,58,9327.0,12,4,3,5,13,14,0,Coritiba FC,16500.0,569.0,27.8,1.0,0.0,4.0,38000.0,1,42,8,3,4,7,14,13,1,2022,5.Rodada
43.600,36.123,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,2,48,175974.0,14,4,2,7,14,11,3,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,0.0,0,52,11,5,5,4,11,14,0,2022,6.Rodada
60.326,52.139,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,2,41,10236.0,15,4,2,7,20,18,4,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,109442.0,2,59,11,3,2,3,18,22,0,2022,6.Rodada
23.018,20.749,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,2,56,85000.0,14,3,0,10,13,16,2,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,0.0,0,44,5,2,6,2,14,14,1,2022,6.Rodada
56.000,18.482,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,2,48,142000.0,13,4,7,5,7,8,1,SC Corinthians,111250.0,3370.0,26.4,5.0,2.0,10.0,116188.0,2,52,15,4,3,6,8,7,3,2022,6.Rodada
18.238,4.722,Fluminense FC,66750.0,1850.0,28.2,6.0,2.0,9.0,2,63,48280.0,11,3,2,4,11,12,1,Athletico Paranaense,38300.0,1200.0,26.3,1.0,3.0,8.0,0.0,1,37,12,3,4,5,12,12,1,2022,6.Rodada
72.039,27.511,São Paulo FC,76850.0,2260.0,27.0,7.0,0.0,7.0,2,73,151724.0,21,9,2,15,14,5,1,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,0.0,1,27,6,2,7,3,5,15,0,2022,6.Rodada
40.502,20.818,Coritiba FC,16500.0,569.0,27.8,1.0,0.0,4.0,1,58,38000.0,17,6,2,7,22,11,4,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,1225.0,0,42,9,4,6,4,10,23,1,2022,6.Rodada
46.931,23.616,Botafogo FR,119000.0,3970.0,25.8,4.0,3.0,5.0,3,63,56417.0,13,4,2,5,14,14,3,Fortaleza EC,47150.0,1630.0,30.0,2.0,1.0,10.0,34119.0,1,37,10,3,3,1,14,15,2,2022,6.Rodada
17.800,9.355,Avaí FC,8150.0,313.0,29.7,0.0,0.0,1.0,1,64,9327.0,17,8,1,6,16,18,0,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,3020.0,2,36,5,1,4,6,18,16,0,2022,6.Rodada
14.525,9.538,Goiás EC,13800.0,460.0,28.1,0.0,0.0,3.0,1,32,0.0,10,3,4,5,11,14,0,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,70773.0,0,68,16,9,4,9,12,11,2,2022,6.Rodada
13.212,5.222,RB Bragantino,66600.0,2300.0,25.0,4.0,0.0,7.0,1,38,0.0,6,4,3,3,4,13,1,Atlético Mineiro,87500.0,3020.0,27.1,3.0,2.0,7.0,85000.0,1,62,18,4,0,10,12,5,2,2022,7.Rodada
78.838,51.962,CR Flamengo,201250.0,6490.0,27.0,12.0,1.0,7.0,1,64,109442.0,12,5,0,6,18,14,1,Goiás EC,13800.0,460.0,28.1,0.0,0.0,3.0,0.0,0,36,3,3,5,4,13,19,3,2022,7.Rodada
13.000,4.676,Atlético Goianiense,17100.0,518.0,26.9,0.0,1.0,4.0,2,57,0.0,17,7,6,3,13,14,1,Coritiba FC,16500.0,569.0,27.8,1.0,0.0,4.0,38000.0,0,43,14,6,1,5,14,13,1,2022,7.Rodada
32.120,25.797,Santos FC,88750.0,2610.0,26.7,3.0,2.0,8.0,0,51,70773.0,16,11,4,6,13,9,2,Ceará SC,25600.0,731.0,28.5,0.0,0.0,5.0,10236.0,0,49,11,6,3,2,9,13,1,2022,7.Rodada
23.726,5.513,EC Juventude,15130.0,445.0,28.1,1.0,0.0,4.0,0,46,3020.0,13,7,5,7,6,20,1,SE Palmeiras,228450.0,7370.0,25.8,7.0,1.0,8.0,175974.0,3,54,19,5,3,7,20,6,2,2022,7.Rodada
25.000,4.236,América Mineiro,13830.0,419.0,26.2,0.0,0.0,2.0,1,42,1225.0,12,5,4,3,8,19,3,Botafogo FR,119000.0,3970.0,25.8,4.0,3.0,5.0,56417.0,1,58,8,2,3,5,15,9,1,2022,7.Rodada
42.968,7.968,Cuiabá EC,12500.0,417.0,24.8,0.0,0.0,1.0,1,42,0.0,11,4,3,4,12,9,2,SC Internacional,97050.0,2370.0,25.3,4.0,3.0,9.0,142000.0,1,58,14,6,2,11,8,12,1,2022,7.Rodada
