capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,rodada
42.968,5.948,Cuiabá EC,0,48,9,5,2,4,10,10,2,Cruzeiro EC,0,52,13,5,4,5,10,10,0,2024,27.Rodada
19.225,12.765,Criciúma EC,0,62,25,12,3,12,12,11,0,Athletico Paranaense,0,38,10,5,7,1,10,12,0,2024,27.Rodada
32.713,16.040,SE Palmeiras,2,43,15,3,3,7,10,15,2,Atlético Mineiro,1,57,6,2,6,3,15,10,1,2024,28.Rodada
46.931,42.220,Botafogo FR,0,63,15,6,4,5,13,10,2,Grêmio FBPA,0,37,11,5,3,3,9,14,0,2024,28.Rodada
23.726,6.285,EC Juventude,1,52,12,5,5,4,18,9,1,RB Bragantino,1,48,15,6,5,5,9,19,0,2024,28.Rodada
72.039,25.888,São Paulo FC,3,53,19,6,2,7,17,18,2,SC Corinthians,1,47,11,5,5,2,18,17,2,2024,28.Rodada
60.326,42.000,Fortaleza EC,1,54,15,7,1,7,9,18,2,Cuiabá EC,0,46,2,1,6,3,16,9,7,2024,28.Rodada
13.000,7.871,Atlético Goianiense,1,39,16,7,2,4,14,15,2,Fluminense FC,0,61,13,7,6,3,14,14,0,2024,28.Rodada
50.848,45.112,SC Internacional,3,54,10,2,3,2,8,26,0,EC Vitória,1,46,7,1,2,6,25,8,4,2024,28.Rodada
61.927,56.331,Cruzeiro EC,1,56,15,8,3,11,6,7,1,CR Vasco da Gama,1,44,13,6,5,4,6,6,0,2024,28.Rodada
47.364,24.574,EC Bahia,1,54,21,10,1,9,8,10,0,Criciúma EC,0,46,2,1,5,1,10,8,5,2024,28.Rodada
78.838,30.022,CR Flamengo,1,70,17,3,1,6,13,12,2,Athletico Paranaense,0,30,7,3,3,1,12,13,3,2024,28.Rodada
19.225,12.343,Criciúma EC,2,47,17,7,3,7,5,16,1,Atlético Goianiense,0,53,14,9,3,6,16,8,1,2024,29.Rodada
82.238,30.242,Fluminense FC,1,47,14,6,4,2,16,19,1,Cruzeiro EC,0,53,13,6,4,2,19,16,1,2024,29.Rodada
60.540,22.204,Grêmio FBPA,3,38,16,5,4,10,9,11,2,Fortaleza EC,1,62,7,2,2,2,10,9,1,2024,29.Rodada
46.000,34.910,Atlético Mineiro,2,56,14,8,1,2,14,13,1,EC Vitória,2,44,9,5,1,5,12,14,3,2024,29.Rodada
15.010,9.989,RB Bragantino,0,41,17,5,5,1,13,7,3,SE Palmeiras,0,59,14,6,5,3,7,14,0,2024,29.Rodada
42.372,22.726,Athletico Paranaense,0,53,26,14,2,8,19,8,0,Botafogo FR,1,47,11,5,3,3,8,20,2,2024,29.Rodada
47.364,43.433,EC Bahia,0,46,9,5,4,3,11,20,3,CR Flamengo,2,54,13,4,2,7,20,11,4,2024,29.Rodada
49.205,44.866,SC Corinthians,2,53,15,6,0,9,12,11,3,SC Internacional,2,47,9,2,4,9,11,14,0,2024,29.Rodada
42.968,11.883,Cuiabá EC,2,22,7,1,3,3,8,12,1,São Paulo FC,0,78,12,7,1,7,11,8,1,2024,29.Rodada
24.584,18.036,CR Vasco da Gama,1,54,16,6,4,3,13,14,3,EC Juventude,1,46,17,7,2,6,14,13,1,2024,29.Rodada
32.039,15.497,São Paulo FC,3,48,14,6,3,3,6,8,1,CR Vasco da Gama,0,52,9,4,4,5,8,6,1,2024,30.Rodada
60.326,23.046,Fortaleza EC,1,46,14,8,4,7,10,9,0,Atlético Mineiro,1,54,18,9,0,3,9,10,3,2024,30.Rodada
78.838,58.117,CR Flamengo,0,60,20,7,1,5,14,15,3,Fluminense FC,2,40,12,3,5,1,15,15,1,2024,30.Rodada
49.205,44.399,SC Corinthians,5,61,14,4,4,3,7,9,0,Athletico Paranaense,2,39,22,12,4,8,6,7,2,2024,30.Rodada
13.000,3.622,Atlético Goianiense,0,60,16,7,0,8,14,17,0,Cuiabá EC,0,40,6,2,4,4,16,15,1,2024,30.Rodada
76.931,64.727,Botafogo FR,1,73,25,8,2,9,9,12,1,Criciúma EC,1,27,6,3,6,1,11,10,2,2024,30.Rodada
61.927,34.473,Cruzeiro EC,1,49,11,7,3,5,8,10,2,EC Bahia,1,51,10,6,2,7,9,8,5,2024,30.Rodada
50.848,48.049,SC Internacional,1,63,18,6,7,3,14,14,1,Grêmio FBPA,0,37,9,1,5,6,14,15,1,2024,30.Rodada
30.618,25.189,EC Vitória,1,50,11,5,0,5,8,15,2,RB Bragantino,0,50,9,7,2,5,14,8,0,2024,30.Rodada
23.726,10.102,EC Juventude,3,53,25,13,2,7,18,15,1,SE Palmeiras,5,47,14,2,3,5,14,19,5,2024,30.Rodada
60.540,36.959,Grêmio FBPA,3,48,11,3,4,4,18,14,0,Atlético Goianiense,1,52,13,4,3,3,13,18,0,2024,31.Rodada
30.618,29.497,EC Vitória,2,49,12,5,4,7,7,15,2,Fluminense FC,1,51,11,3,1,5,15,7,2,2024,31.Rodada
78.838,65.700,CR Flamengo,4,74,20,7,1,8,13,8,2,EC Juventude,2,26,5,2,6,1,8,14,1,2024,31.Rodada
43.713,40.321,SE Palmeiras,2,60,16,5,1,3,15,9,0,Fortaleza EC,2,40,11,6,4,3,9,17,0,2024,31.Rodada
42.372,35.959,Athletico Paranaense,3,58,19,8,0,7,13,14,0,Cruzeiro EC,0,42,2,2,3,1,14,14,0,2024,31.Rodada
46.000,27.028,Atlético Mineiro,1,58,7,4,4,3,15,15,2,SC Internacional,3,42,11,3,2,3,14,15,1,2024,31.Rodada
15.010,7.400,RB Bragantino,0,38,6,2,3,3,17,13,1,Botafogo FR,1,62,19,9,1,6,12,17,3,2024,31.Rodada
19.225,17.422,Criciúma EC,1,30,10,4,2,6,9,13,0,São Paulo FC,1,70,16,5,2,7,13,10,0,2024,31.Rodada
42.968,16.680,Cuiabá EC,0,56,13,5,2,5,14,14,1,SC Corinthians,1,44,9,2,5,2,13,16,5,2024,31.Rodada
24.584,17.213,CR Vasco da Gama,3,48,15,4,5,2,9,11,2,EC Bahia,2,52,12,4,5,4,11,9,0,2024,31.Rodada
82.238,35.278,Fluminense FC,2,63,18,7,1,8,13,15,4,Grêmio FBPA,2,37,7,2,5,2,13,14,0,2024,32.Rodada
15.010,4.103,RB Bragantino,0,68,18,12,1,11,11,8,0,Cuiabá EC,0,32,7,5,4,5,8,11,0,2024,32.Rodada
42.372,40.666,Athletico Paranaense,1,64,25,14,3,9,13,8,2,EC Vitória,2,36,11,4,4,3,7,13,0,2024,32.Rodada
23.726,7.419,EC Juventude,0,59,17,7,1,5,14,7,2,Fortaleza EC,3,41,11,3,6,3,7,14,4,2024,32.Rodada
49.205,46.085,SC Corinthians,2,41,6,2,4,2,12,18,1,SE Palmeiras,0,59,17,7,2,9,18,13,4,2024,32.Rodada
50.848,29.097,SC Internacional,2,69,20,5,4,7,13,15,2,Criciúma EC,0,31,5,1,7,3,14,13,4,2024,32.Rodada
47.364,29.599,EC Bahia,0,52,24,10,1,10,16,13,0,São Paulo FC,3,48,10,3,6,3,13,16,1,2024,32.Rodada
46.931,32.007,Botafogo FR,3,64,20,9,3,7,8,13,3,CR Vasco da Gama,0,36,11,5,2,4,12,8,0,2024,32.Rodada
21.927,20.855,Cruzeiro EC,0,53,15,5,1,7,13,8,1,CR Flamengo,1,47,11,5,5,4,8,13,3,2024,32.Rodada
13.000,3.791,Atlético Goianiense,1,37,13,6,5,4,13,11,0,Atlético Mineiro,0,63,12,5,2,7,11,13,1,2024,32.Rodada
50.848,35.877,SC Internacional,2,51,17,6,2,4,10,11,4,Fluminense FC,0,49,9,5,4,4,11,10,0,2024,33.Rodada
43.713,33.670,SE Palmeiras,1,61,33,11,0,14,9,14,5,Grêmio FBPA,0,39,6,2,14,1,13,9,3,2024,33.Rodada
,30.973,EC Vitória,1,42,9,3,5,14,10,11,2,SC Corinthians,2,58,13,3,1,4,10,11,0,2024,33.Rodada
46.931,41.899,Botafogo FR,0,74,28,14,1,8,14,8,5,Cuiabá EC,0,26,4,1,5,1,8,14,0,2024,33.Rodada
61.927,29.287,Cruzeiro EC,2,63,26,10,6,6,11,13,1,Criciúma EC,1,37,12,5,7,5,13,11,2,2024,33.Rodada
60.326,45.271,Fortaleza EC,3,40,14,3,3,5,11,13,2,CR Vasco da Gama,0,60,4,2,6,1,12,11,3,2024,33.Rodada
13.000,2.419,Atlético Goianiense,0,41,10,4,6,7,10,14,1,RB Bragantino,0,59,17,7,4,6,13,11,0,2024,33.Rodada
23.726,6.091,EC Juventude,2,38,20,10,2,7,8,11,3,EC Bahia,1,62,8,3,6,2,11,9,1,2024,33.Rodada
72.039,34.777,São Paulo FC,2,78,10,5,2,5,20,5,3,Athletico Paranaense,1,22,9,3,1,6,5,20,2,2024,33.Rodada
78.838,63.441,CR Flamengo,0,54,25,10,2,7,6,14,0,Atlético Mineiro,0,46,16,6,7,4,13,7,1,2024,33.Rodada
49.205,46.056,SC Corinthians,2,45,13,4,0,3,14,13,1,Cruzeiro EC,1,55,8,6,6,4,13,15,1,2024,34.Rodada
15.010,9.017,RB Bragantino,1,43,18,11,1,1,9,16,0,São Paulo FC,1,57,10,4,4,1,14,12,0,2024,34.Rodada
42.372,42.177,Athletico Paranaense,2,37,11,3,5,6,8,9,1,Atlético Goianiense,0,63,20,7,6,9,8,8,1,2024,34.Rodada
19.225,12.123,Criciúma EC,0,49,13,8,2,6,18,11,2,EC Vitória,1,51,14,8,2,5,9,18,3,2024,34.Rodada
47.364,36.445,EC Bahia,1,58,17,9,1,4,14,15,3,SE Palmeiras,2,42,11,2,4,5,14,14,4,2024,34.Rodada
60.540,40.426,Grêmio FBPA,2,57,11,6,3,5,15,17,1,EC Juventude,2,43,11,4,2,4,17,16,0,2024,34.Rodada
,12.891,Cuiabá EC,1,37,5,2,5,4,9,6,1,CR Flamengo,2,63,19,8,2,10,6,10,2,2024,34.Rodada
26.000,0,Atlético Mineiro,0,29,3,2,4,1,11,9,3,Botafogo FR,0,71,27,14,0,11,9,11,0,2024,34.Rodada
24.584,17.339,CR Vasco da Gama,0,49,12,6,6,8,10,8,5,SC Internacional,1,51,16,5,0,3,8,10,0,2024,34.Rodada
82.238,37.969,Fluminense FC,2,74,10,2,3,8,11,9,1,Fortaleza EC,2,26,11,4,3,3,8,11,2,2024,34.Rodada
46.931,35.491,Botafogo FR,1,73,26,8,3,10,7,10,1,EC Vitória,1,27,10,5,9,0,10,7,1,2024,35.Rodada
13.000,11.216,Atlético Goianiense,0,55,9,4,2,4,13,16,1,SE Palmeiras,1,45,10,6,2,2,15,14,0,2024,35.Rodada
23.726,6.932,EC Juventude,1,60,19,11,0,6,7,9,2,Cuiabá EC,1,40,7,4,3,5,9,7,1,2024,35.Rodada
72.039,36.783,São Paulo FC,2,54,13,7,1,7,11,11,0,Atlético Mineiro,2,46,3,0,3,1,9,11,0,2024,35.Rodada
50.848,41.762,SC Internacional,4,55,16,4,0,8,11,16,1,RB Bragantino,1,45,5,3,3,4,16,12,1,2024,35.Rodada
47.364,26.307,EC Bahia,1,74,25,12,2,11,12,7,1,Athletico Paranaense,1,26,6,2,7,1,6,13,4,2024,35.Rodada
49.205,46.083,SC Corinthians,3,59,23,10,1,7,14,8,1,CR Vasco da Gama,1,41,8,3,5,6,7,14,0,2024,35.Rodada
82.238,41.240,Fluminense FC,0,64,19,10,3,9,13,6,2,Criciúma EC,0,36,10,5,3,4,6,15,2,2024,35.Rodada
60.326,57.624,Fortaleza EC,0,39,7,4,4,5,14,16,1,CR Flamengo,0,61,16,5,1,5,16,14,1,2024,35.Rodada
61.927,21.009,Cruzeiro EC,1,61,19,10,3,5,6,16,2,Grêmio FBPA,1,39,9,3,2,1,16,6,2,2024,35.Rodada
46.000,0,Atlético Mineiro,2,64,21,10,4,9,7,13,0,EC Juventude,3,36,13,4,3,5,13,8,2,2024,36.Rodada
43.713,31.753,SE Palmeiras,1,55,19,8,4,5,14,9,0,Botafogo FR,3,45,13,2,5,7,8,16,1,2024,36.Rodada
42.968,2.613,Cuiabá EC,1,44,11,7,1,3,8,9,5,EC Bahia,2,56,12,6,0,4,8,8,1,2024,36.Rodada
19.225,18.075,Criciúma EC,2,38,12,4,7,3,8,10,1,SC Corinthians,4,62,19,4,2,7,10,8,3,2024,36.Rodada
24.584,18.270,CR Vasco da Gama,2,61,16,7,3,5,10,10,1,Atlético Goianiense,2,39,12,5,5,3,9,10,3,2024,36.Rodada
60.540,39.197,Grêmio FBPA,2,39,16,2,1,10,6,11,2,São Paulo FC,1,61,7,3,6,6,11,7,2,2024,36.Rodada
78.838,56.571,CR Flamengo,3,56,17,5,4,6,12,14,4,SC Internacional,2,44,12,3,7,4,13,12,2,2024,36.Rodada
30.618,29.090,EC Vitória,2,29,19,4,2,7,10,13,1,Fortaleza EC,0,71,11,2,6,8,12,10,0,2024,36.Rodada
15.010,6.223,RB Bragantino,1,33,7,4,1,6,14,11,0,Cruzeiro EC,1,67,22,9,1,10,11,14,0,2024,36.Rodada
42.372,41.375,Athletico Paranaense,1,29,16,10,3,3,10,10,0,Fluminense FC,1,71,15,3,3,8,9,10,2,2024,36.Rodada
49.205,46.263,SC Corinthians,3,52,18,7,2,7,13,12,3,EC Bahia,0,48,12,7,4,4,12,13,1,2024,37.Rodada
24.584,17.074,CR Vasco da Gama,2,58,11,6,3,3,11,20,1,Atlético Mineiro,0,42,11,3,2,6,19,13,2,2024,37.Rodada
30.618,26.842,EC Vitória,1,49,25,10,1,7,10,13,3,Grêmio FBPA,1,51,7,4,4,1,13,10,0,2024,37.Rodada
72.039,31.442,São Paulo FC,1,69,10,5,5,12,14,9,2,EC Juventude,2,31,13,4,1,2,8,15,0,2024,37.Rodada
19.225,18.849,Criciúma EC,0,38,16,6,4,7,6,16,1,CR Flamengo,3,62,12,2,4,3,14,6,0,2024,37.Rodada
50.848,37.628,SC Internacional,0,67,14,6,0,10,12,9,0,Botafogo FR,1,33,2,1,6,1,9,12,5,2024,37.Rodada
61.927,0,Cruzeiro EC,1,46,9,5,9,7,11,14,1,SE Palmeiras,2,54,31,10,2,6,14,13,0,2024,37.Rodada
13.000,3.157,Atlético Goianiense,3,55,27,7,3,5,15,13,2,Fortaleza EC,1,45,12,2,5,3,12,16,0,2024,37.Rodada
82.238,59.730,Fluminense FC,1,59,24,12,3,10,8,14,1,Cuiabá EC,0,41,3,0,5,3,13,9,1,2024,37.Rodada
42.372,41.626,Athletico Paranaense,1,53,22,6,2,6,15,14,0,RB Bragantino,2,47,13,7,6,5,14,15,1,2024,37.Rodada
